Country,Total Plants,electric,"electric, oxygen",oxygen,ironmaking (BF),ironmaking (DRI),ironmaking (unknown),integrated (BF),integrated (BF and DRI),integrated (DRI),integrated (unknown),unknown,steelmaking only,ironmaking only,integrated total,other total
Albania,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Algeria,4,1,0,0,0,0,0,1,0,2,0,0,1,0,3,0
Angola,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Argentina,4,1,0,0,0,0,0,1,0,2,0,0,1,0,3,0
Australia,4,2,0,0,0,0,0,2,0,0,0,0,2,0,2,0
Austria,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
Azerbaijan,2,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Bahrain,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Bangladesh,7,6,0,0,0,0,0,1,0,0,0,0,6,0,1,0
Belarus,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Belgium,4,3,0,0,0,0,0,1,0,0,0,0,3,0,1,0
Bosnia and Herzegovina,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Brazil,23,9,0,0,1,0,0,13,0,0,0,0,9,1,13,0
Bulgaria,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cambodia,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Canada,8,2,1,1,0,0,0,3,0,1,0,0,4,0,4,0
Chile,2,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
China,349,91,1,1,7,0,1,244,1,0,1,2,93,8,246,2
Croatia,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Czech Republic,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
Egypt,8,4,0,0,0,0,0,0,0,4,0,0,4,0,4,0
Finland,4,2,0,0,0,0,0,1,0,1,0,0,2,0,2,0
France,9,7,0,0,0,0,0,2,0,0,0,0,7,0,2,0
Georgia,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Germany,18,9,1,1,0,0,0,6,0,1,0,0,11,0,7,0
Ghana,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Greece,4,3,0,0,0,0,0,1,0,0,0,0,3,0,1,0
Guatemala,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hong Kong,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hungary,3,2,0,0,0,0,0,1,0,0,0,0,2,0,1,0
India,65,8,0,2,0,2,0,23,18,9,2,1,10,2,52,1
Indonesia,11,2,0,0,0,0,0,5,0,1,3,0,2,0,9,0
Iran,39,11,0,0,0,4,0,2,0,22,0,0,11,4,24,0
Iraq,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Italy,25,23,0,0,0,1,0,1,0,0,0,0,23,1,1,0
Japan,40,24,0,1,0,0,0,15,0,0,0,0,25,0,15,0
Kazakhstan,4,2,0,0,0,0,0,1,0,0,1,0,2,0,2,0
Kenya,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
North Korea,5,0,1,0,0,0,0,2,0,1,0,1,1,0,3,1
South Korea,17,12,0,0,0,2,0,3,0,0,0,0,12,2,3,0
Kuwait,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Libya,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Luxembourg,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
North Macedonia,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Malaysia,15,8,0,0,0,1,0,4,0,2,0,0,8,1,6,0
Mexico,15,10,0,0,0,0,0,1,1,3,0,0,10,0,5,0
Moldova,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Morocco,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Mozambique,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Myanmar,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Namibia,2,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Netherlands,2,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
New Zealand,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Nigeria,3,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0
Norway,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Oman,5,2,0,0,0,1,0,0,0,2,0,0,2,1,2,0
Pakistan,5,2,0,0,0,0,0,1,0,1,0,1,2,0,2,1
Peru,2,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
Philippines,10,7,0,0,0,0,0,0,0,0,3,0,7,0,3,0
Poland,7,6,0,0,0,0,0,1,0,0,0,0,6,0,1,0
Portugal,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Qatar,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Romania,4,3,0,0,0,0,0,1,0,0,0,0,3,0,1,0
Russia,31,19,0,0,0,2,0,8,0,2,0,0,19,2,10,0
Saudi Arabia,11,5,0,0,0,1,0,1,0,4,0,0,5,1,5,0
Serbia,2,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Singapore,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Slovakia,2,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Slovenia,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
South Africa,4,1,0,0,0,0,0,1,2,0,0,0,1,0,3,0
Spain,15,13,0,1,0,0,0,1,0,0,0,0,14,0,1,0
Sri Lanka,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Sweden,8,4,0,0,0,1,0,2,0,1,0,0,4,1,3,0
Switzerland,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Syria,2,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Taiwan,8,5,0,0,0,0,0,3,0,0,0,0,5,0,3,0
Thailand,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0
Trinidad and Tobago,2,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
Türkiye,27,22,0,0,1,0,0,4,0,0,0,0,22,1,4,0
Uganda,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ukraine,11,3,0,0,0,0,0,8,0,0,0,0,3,0,8,0
United Arab Emirates,3,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0
United Kingdom,6,4,0,0,0,0,0,2,0,0,0,0,4,0,2,0
United States,80,67,0,1,0,3,0,9,0,0,0,0,68,3,9,0
Uzbekistan,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
Venezuela,6,0,0,0,0,5,0,0,0,1,0,0,0,5,1,0
Vietnam,16,9,0,0,0,0,0,5,1,0,1,0,9,0,7,0
Zimbabwe,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
